id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1503072153910063106,1503072153910063106,2022-03-13 21:15:01 Russia TZ 2 Standard Time,2022-03-13,21:15:01,+0300,399436346,artscase,ArtsCase,,Trendy Girl in Spring in Paris by DaDo ART for Galaxy S21 | ArtsCase #ArtsMakers #ArtsCase #art #phonecases #iphonecases #iphone13 #galaxys21 #apple #samsung  https://t.co/JURP0E8Tyd,en,[],['https://www.artscase.com/product/cases/galaxy-s21-cases-strongfit-trendy-girl-in-spring-in-paris-dado-art?utm_source=twitter&utm_medium=social&utm_campaign=tweet'],[],0,0,0,"['artsmakers', 'artscase', 'art', 'phonecases', 'iphonecases', 'iphone13', 'galaxys21', 'apple', 'samsung']",[],https://twitter.com/ArtsCase/status/1503072153910063106,False,,0,,,,,,,,[],,,,
1503069180316327942,1503069180316327942,2022-03-13 21:03:12 Russia TZ 2 Standard Time,2022-03-13,21:03:12,+0300,1434143860066701321,blancclinic_d,ゆうな🤍100%フォロバ🤍ブランクリニック紹介,,#iPhone12 、Apple公式よりも #楽天モバイル が安いって知ってた？ ソフトバンク、docomo、auよりもなんと1.5万円以上安く買える！本体だけ楽天市場で一括購入するのも🙆‍♀️   #iPhone13 も安いし、在庫もあるよ🌟最安値で買うなら楽天一択！  https://t.co/LLDd3ivpMB,ja,[],['https://a.r10.to/hwK980'],[],0,0,0,"['iphone12', '楽天モバイル', 'iphone13']",[],https://twitter.com/blancclinic_d/status/1503069180316327942,False,,0,,,,,,,,[],,,,
1503068374363951113,1503068374363951113,2022-03-13 21:00:00 Russia TZ 2 Standard Time,2022-03-13,21:00:00,+0300,190023905,jcsatanas, jcsatanas.fr,,"#BONPLAN #PROMO  Apple Watch Series 7, AirPods Pro, coques et verres trempés pour iPhone, coques et bracelets Apple Watch, chargeurs Power Delivery, câbles MFI, écouteurs Bluetooth  #iPhone13 #iPhone13Pro #AppleWatch #AirPodsPro    #jcsatanas    https://t.co/mgI2dmKEgt  https://t.co/Oew3yY5dEf",fr,[],['https://jcsatanas.fr/bons-plans-et-promos-du-jour/'],['https://pbs.twimg.com/media/FNuMVeKXwAAubgz.jpg'],0,1,1,"['bonplan', 'promo', 'iphone13', 'iphone13pro', 'applewatch', 'airpodspro', 'jcsatanas']",[],https://twitter.com/jcsatanas/status/1503068374363951113,False,,1,https://pbs.twimg.com/media/FNuMVeKXwAAubgz.jpg,,,,,,,[],,,,
1503066862204198913,1503066862204198913,2022-03-13 20:54:00 Russia TZ 2 Standard Time,2022-03-13,20:54:00,+0300,856805168524005376,hesheshopping,HeSheShopping,,"Anker Foldable 3-in-1 Station with Power Adapter, 335 Wireless Charger, Works with #iPhone13/13 Pro Max / 12, AirPods Pro, Apple Watch Series 1-6, and More (Watch Charging Cable Not Included)  https://t.co/MEu0ROGCLD via @amazon",en,"[{'screen_name': 'amazon', 'name': 'amazon', 'id': '20793816'}]",['https://amzn.to/36ah8yS'],[],0,0,0,['iphone13'],[],https://twitter.com/hesheshopping/status/1503066862204198913,False,,0,,,,,,,,[],,,,
1503064755807870994,1503064755807870994,2022-03-13 20:45:38 Russia TZ 2 Standard Time,2022-03-13,20:45:38,+0300,949913344030511104,ongliong11,ongliong,,#wallpapers #homescreen #lockscreen   🚦#wallpaper  🚦 #iPhone13ProMax 🚦#iPhone13 #壁纸  🚦#walls  #android   FO：🚥@ongliong11 🚥   Subscribe to my super wallpaper bag! You can find it in the 2022-03  folder! Sort with modification time  https://t.co/D65Zqm7lDd,en,"[{'screen_name': 'ongliong11', 'name': 'ongliong', 'id': '949913344030511104'}]",[],"['https://pbs.twimg.com/media/FNv1ag2aMAEbRdD.jpg', 'https://pbs.twimg.com/media/FNv1azmakAAnfUG.jpg', 'https://pbs.twimg.com/media/FNv1bFmacAMRI3h.jpg', 'https://pbs.twimg.com/media/FNv1bXvaUAA54C9.jpg']",0,1,5,"['wallpapers', 'homescreen', 'lockscreen', 'wallpaper', 'iphone13promax', 'iphone13', '壁纸', 'walls', 'android']",[],https://twitter.com/ongliong11/status/1503064755807870994,False,,1,https://pbs.twimg.com/media/FNv1ag2aMAEbRdD.jpg,,,,,,,[],,,,
1503060072133545987,1503060072133545987,2022-03-13 20:27:01 Russia TZ 2 Standard Time,2022-03-13,20:27:01,+0300,1067839467896143872,ktz_ktechzone,Kevin D.,,Don't know how to feel about that green. Looks overly deep/saturated in the pictures below #iphone13 #iPhone13Pro #apple,en,[],[],[],0,0,1,"['iphone13', 'iphone13pro', 'apple']",[],https://twitter.com/KTZ_KTechZone/status/1503060072133545987,False,https://twitter.com/ijustine/status/1502764747879448576,0,,,,,,,,[],,,,
1503058114307833862,1503058114307833862,2022-03-13 20:19:14 Russia TZ 2 Standard Time,2022-03-13,20:19:14,+0300,169560403,gbrotiniyt,Giulio Brotini,,"QUALE MAC COMPRARE NEL 2022 (MacBook Air, Mac Mini, Mac Studio)  https://t.co/Ke5ORkPb25 via @YouTube #Apple #AppleEvent #iPadAir5 #iPhone #iPhoneSE #iPhone13 #iPad #macbook #MacStudio #Apple  https://t.co/qqr944oQUU",it,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/gXR3ZrUuiiM'],['https://pbs.twimg.com/media/FNvvP5EWUAI1y0N.jpg'],0,0,3,"['apple', 'appleevent', 'ipadair5', 'iphone', 'iphonese', 'iphone13', 'ipad', 'macbook', 'macstudio', 'apple']",[],https://twitter.com/gbrotiniyt/status/1503058114307833862,False,,1,https://pbs.twimg.com/media/FNvvP5EWUAI1y0N.jpg,,,,,,,[],,,,
1503054929300180992,1503054929300180992,2022-03-13 20:06:35 Russia TZ 2 Standard Time,2022-03-13,20:06:35,+0300,3901516103,hartleycharlton,Hartley Charlton,,Green is green. #Apple #iPhone13  https://t.co/LhQHYHvWKL,en,[],[],['https://pbs.twimg.com/media/FNvsfcPXsAUv7TN.jpg'],2,1,5,"['apple', 'iphone13']",[],https://twitter.com/HartleyCharlton/status/1503054929300180992,False,,1,https://pbs.twimg.com/media/FNvsfcPXsAUv7TN.jpg,,,,,,,[],,,,
1503053845400014851,1503053845400014851,2022-03-13 20:02:16 Russia TZ 2 Standard Time,2022-03-13,20:02:16,+0300,2526452580,legendoclast,アートパフォーマーSHOGO,,サボり気味の 深夜の手作り  iPhone13microゴールドリーフ  明日は銀箔にチャレンジ  #ミニチュア職人 #iPhone13  https://t.co/w5xGsEIcif,ja,[],[],"['https://pbs.twimg.com/media/FNvrgEPaQAATR_h.jpg', 'https://pbs.twimg.com/media/FNvrgXuaMAYJYVZ.jpg']",0,0,0,"['ミニチュア職人', 'iphone13']",[],https://twitter.com/legendoclast/status/1503053845400014851,False,,1,https://pbs.twimg.com/media/FNvrgEPaQAATR_h.jpg,,,,,,,[],,,,
1503053466662543364,1503053466662543364,2022-03-13 20:00:46 Russia TZ 2 Standard Time,2022-03-13,20:00:46,+0300,3306434628,yourcreategoods,創作グッズ・ネップリ・通販アリうさ★スマホケース等,,病みつきになる魅力的な #イラスト を描く柴田ヰコ（@insomnia_ico）氏のグッズは雑貨屋アリスの白うさぎで絶賛発売中！ #iPhoneケース は最新 #iPhone13 シリーズにも対応可能です♪  https://t.co/FinQgVQAG9,ja,"[{'screen_name': 'insomnia_ico', 'name': '柴田ヰコ（幽霊でない）', 'id': '1478874252724293636'}]",['https://twitter.com/yourcreategoods/status/1418035505178894341?s=20'],[],0,0,4,"['イラスト', 'iphoneケース', 'iphone13']",[],https://twitter.com/yourcreategoods/status/1503053466662543364,False,https://twitter.com/yourcreategoods/status/1418035505178894341?s=20,0,,,,,,,,[],,,,
